Title,Director,Rating,Cast,Votes
Communion,Alfred Sole,6.4,"Linda Miller, Mildred Clinton, Paula E. Sheppard, Niles McMaster",12988
Mummies,Juan Jesús García Galocha,5.9,"Óscar Barberán, Ana Esther Alborg, Luis Reina, María Luisa Solá",9038
Very Bad Things,Peter Berg,6.3,"Christian Slater, Daniel Stern, Cameron Diaz, Jon Favreau",49047
Curve,Iain Softley,5.4,"Julianne Hough, Teddy Sears, Penelope Mitchell, Madalyn Horcher",12047
Stan Helsing,Bo Zenga,3.6,"Steve Howey, Diora Baird, Kenan Thompson, Desi Lydic",14867
Step Up All In,Trish Sie,5.9,"Ryan Guzman, Briana Evigan, Adam Sevani, Misha Gabriel Hamilton",36076
Assassins,Richard Donner,6.3,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",88287
Thunderheart,Michael Apted,6.8,"Val Kilmer, Sam Shepard, Graham Greene, Fred Ward",17180
All the Boys Love Mandy Lane,Jonathan Levine,5.5,"Amber Heard, Anson Mount, Whitney Able, Michael Welch",34798
Master i Margarita,Michael Lockshin,7.3,"August Diehl, Yulia Snigir, Evgeniy Tsyganov, Claes Bang",2577
Abominable,Jill Culton,7.0,"Todd Wilderman, Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Joseph Izzo",42482
A Futile and Stupid Gesture,David Wain,6.7,"Frank Gingerich, Morgan Gingerich, Annette O'Toole, Harry Groener",17991
Baskin,Can Evrenol,5.8,"Mehmet Cerrahoglu, Görkem Kasal, Ergun Kuyucu, Muharrem Bayrak",12487
Herbie: Fully Loaded,Angela Robinson,4.9,"Lindsay Lohan, Michael Keaton, Cheryl Hines, Breckin Meyer",50896
Gigli,Martin Brest,2.6,"Ben Affleck, Jennifer Lopez, Justin Bartha, Terry Camilleri",50760
Mutiny on the Bounty,Lewis Milestone,7.2,"Carol Reed, George Seaton, Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith",17920
Dark Star,John Carpenter,6.2,"Dan O'Bannon, Dre Pahich, Brian Narelle, Cal Kuniholm",27310
Avanpost,Egor Baranov,6.0,"Aleksey Chadov, Pyotr Fyodorov, Svetlana Ivanova, Lukerya Ilyashenko",10662
The Relic,Peter Hyams,5.8,"Penelope Ann Miller, Tom Sizemore, Linda Hunt, James Whitmore",30232
Swimfan,John Polson,5.1,"Jesse Bradford, Erika Christensen, Shiri Appleby, Kate Burton",21229
Machine Gun Preacher,Marc Forster,6.7,"Gerard Butler, Michelle Monaghan, Michael Shannon, Kathy Baker",69005
Chopping Mall,Jim Wynorski,5.6,"Kelli Maroney, Tony O'Dell, Russell Todd, Karrie Emerson",17299
Spree,Eugene Kotlyarenko,5.9,"Joe Keery, David Arquette, Joshua Ovalle, A.J. Del Cueto",16804
J. Edgar,Clint Eastwood,6.5,"Leonardo DiCaprio, Armie Hammer, Naomi Watts, Josh Hamilton",133728
Venus,Jaume Balagueró,5.5,"Ester Expósito, Inés Fernández, Ángela Cremonte, Magüi Mira",4065
Picnic,Joshua Logan,7.0,"William Holden, Kim Novak, Betty Field, Susan Strasberg",9858
Sugar Mountain,Richard Gray,5.5,"Jason Momoa, Cary Elwes, Melora Walters, Anna Hutchison",4278
Rad,Hal Needham,6.7,"Bart Conner, Lori Loughlin, Bill Allen, Talia Shire",7071
Été 85,François Ozon,6.9,"Félix Lefebvre, Benjamin Voisin, Philippine Velge, Valeria Bruni Tedeschi",13404
The Keep,Michael Mann,5.7,"Scott Glenn, Ian McKellen, Alberta Watson, Jürgen Prochnow",14338
Kumonosu-jô,Akira Kurosawa,8.0,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura",56072
