Title,Director,Actual Rating,Predicted Rating
The Shootist,Don Siegel,7.6,6.738621411830094
Beast,Baltasar Kormákur,5.6,6.76448587778303
Runaway Jury,Gary Fleder,7.1,6.731436837954278
Exit to Eden,Garry Marshall,4.2,6.731796066648069
Zwartboek,Paul Verhoeven,7.7,6.665338758296776
Great Expectations,Alfonso Cuarón,6.8,6.770592765577473
The Princess Bride,Rob Reiner,8.0,6.651688067932726
Alien³,David Fincher,6.4,6.74580598570591
Philadelphia,Jonathan Demme,7.7,6.697669340737946
Sophie's Choice,Alan J. Pakula,7.5,6.77382582382159
Splash,Ron Howard,6.3,6.644862722750702
Clueless,Amy Heckerling,6.9,6.769874308189891
Nine 1/2 Weeks,Adrian Lyne,5.9,6.774544281209171
The Ninth Gate,Roman Polanski,6.7,6.645581180138283
Mission: Impossible - Fallout,Christopher McQuarrie,7.7,6.752272102194143
Marooned,John Sturges,5.9,6.69982471290069
3:10 to Yuma,James Mangold,7.6,6.715990004121275
Lethal Weapon 4,Richard Donner,6.6,6.6545618974830525
I racconti di Canterbury,Pier Paolo Pasolini,6.4,6.658872641808542
Walk of Shame,Steven Brill,6.0,6.634445090630769
Melancholia,Lars von Trier,7.1,6.689407080780757
The Sea of Trees,Gus Van Sant,6.1,6.725689178853626
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,5.8,6.696591654656573
Stay Alive,William Brent Bell,5.0,6.620075942879138
Zathura: A Space Adventure,Jon Favreau,6.3,6.698747026819317
The Company You Keep,Robert Redford,6.4,6.64917346707619
The Lord of the Rings: The Return of the King,Peter Jackson,9.0,6.661387242665077
All I See Is You,Marc Forster,5.4,6.685096336455268
Gwoemul,Bong Joon Ho,7.1,6.758019761294795
The Highwaymen,John Lee Hancock,6.9,6.702698542451016
Ad Astra,James Gray,6.5,6.717067690202647
The Man Who Knew Too Much,Alfred Hitchcock,7.4,6.770233536883682
3 Days to Kill,McG,6.2,6.68114482082357
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,6.9,6.617202113328812
Serpico,Sidney Lumet,7.7,6.63947429234384
Fast & Furious,Justin Lin,6.5,6.693717825106247
Assault on Precinct 13,John Carpenter,7.3,6.707368515470296
Kill Bill: Vol. 1,Quentin Tarantino,8.2,6.65815418442096
The Vikings,Richard Fleischer,7.0,6.654202668789262
Kinsey,Bill Condon,7.1,6.7608935908451215
Lara Croft: Tomb Raider - The Cradle of Life,Jan de Bont,5.5,6.715271546733693
Slumberland,Francis Lawrence,6.7,6.734310667504604
I Am Number Four,D.J. Caruso,6.1,6.749398272643817
To the Wonder,Terrence Malick,5.8,6.6301343463052795
Avatar,James Cameron,7.9,6.717786147590229
Stolen,Simon West,5.5,6.6387558349562585
Pearl Harbor,Michael Bay,6.2,6.679707906048407
Festen,Thomas Vinterberg,8.0,6.629415888917698
Mission: Impossible - Ghost Protocol,Brad Bird,7.4,6.757301303907214
Kagemusha,Akira Kurosawa,7.9,6.774185052515381
Friday,F. Gary Gray,7.2,6.735029124892186
One from the Heart,Francis Ford Coppola,6.5,6.734669896198395
Soul Surfer,Sean McNamara,7.0,6.640911207119003
Violent Night,Tommy Wirkola,6.7,6.625105144592209
Female Trouble,John Waters,7.1,6.6994654842068995
Confessions of a Dangerous Mind,George Clooney,7.0,6.729640694485324
Max Payne,John Moore,5.3,6.701620856369644
Elizabethtown,Cameron Crowe,6.3,6.754427474356888
WarGames,John Badham,7.1,6.708086972857878
Remember the Titans,Boaz Yakin,7.8,6.759456676069958
Bruce Almighty,Tom Shadyac,6.8,6.62582360197979
Snakes on a Plane,David R. Ellis,5.5,6.742213698768001
Duplex,Danny DeVito,5.9,6.748679815256235
The Naked Gun 2½: The Smell of Fear,David Zucker,6.9,6.7404175552990475
Man cheng jin dai huang jin jia,Yimou Zhang,7.0,6.617920570716393
The Last House on the Left,Wes Craven,5.9,6.620794400266719
Patton,Franklin J. Schaffner,7.9,6.733232981423232
To Kill a Mockingbird,Robert Mulligan,8.3,6.649532695769982
The Arrival,David Twohy,6.2,6.74149524138042
Big Trouble,Barry Sonnenfeld,6.4,6.763408191701657
House of the Dead,Uwe Boll,2.1,6.623309001123255
Escape from New York,John Carpenter,7.1,6.707368515470296
Men in Black,Barry Sonnenfeld,7.3,6.763408191701657
Ocean's Eleven,Steven Soderbergh,7.7,6.633726633243187
One Hundred and One Dalmatians,Clyde Geronimi,7.3,6.75083518741898
Freaky,Christopher Landon,6.3,6.752631330887934
The King of Staten Island,Judd Apatow,7.1,6.694436282493828
Sleuth,Joseph L. Mankiewicz,8.0,6.695873197268991
Only Lovers Left Alive,Jim Jarmusch,7.2,6.710960802408204
Moving On,Paul Weitz,6.0,6.664620300909194
