Title,Director,Actual Rating,Predicted Rating
Incendies,Denis Villeneuve,8.3,6.740058326605257
The Sweet Hereafter,Atom Egoyan,7.4,6.7648451064768205
Wolf,Mike Nichols,6.3,6.6743194756415445
The Covenant,Guy Ritchie,7.5,6.724970721466044
Curly Sue,John Hughes,5.9,6.70449468591997
Kimi no na wa.,Makoto Shinkai,8.4,6.68581479384285
The Wolf of Wall Street,Martin Scorsese,8.2,6.682581735598733
The Midnight Sky,George Clooney,5.7,6.729640694485324
Close Encounters of the Third Kind,Steven Spielberg,7.6,6.633367404549396
The General's Daughter,Simon West,6.4,6.6387558349562585
The Last Duel,Ridley Scott,7.4,6.653124982707889
The Big Year,David Frankel,6.2,6.745446757012118
The 13th Warrior,John McTiernan,6.6,6.701980085063434
Conan the Destroyer,Richard Fleischer,5.9,6.654202668789262
Death Wish 4: The Crackdown,J. Lee Thompson,5.4,6.719582291059183
Saving Private Ryan,Steven Spielberg,8.6,6.633367404549396
Hellboy,Neil Marshall,5.3,6.6721641034788
Down with Love,Peyton Reed,6.3,6.659950327889914
Guillermo del Toro's Pinocchio,Guillermo del Toro,7.6,6.726048407547417
Bound by Honor,Taylor Hackford,7.9,6.630852803692861
Dolores Claiborne,Taylor Hackford,7.4,6.630852803692861
Safe,Todd Haynes,7.1,6.626901288061163
Dragon: The Bruce Lee Story,Rob Cohen,7.0,6.652765754014099
Atomic Blonde,David Leitch,6.7,6.744009842236955
"I, Robot",Alex Proyas,7.1,6.771670451658845
Pinocchio,Robert Zemeckis,5.1,6.647377323607237
Species,Roger Donaldson,5.9,6.647018094913446
Rocky Balboa,Sylvester Stallone,7.1,6.632289718468024
Haute tension,Alexandre Aja,6.7,6.770951994271264
Grand Canyon,Lawrence Kasdan,6.8,6.688688623393176
Pennies from Heaven,Herbert Ross,6.5,6.721737663221927
In the Blood,John Stockwell,5.7,6.700183941594481
Aquaman and the Lost Kingdom,James Wan,5.6,6.715630775427484
Saving Mr. Banks,John Lee Hancock,7.5,6.702698542451016
Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,7.7,6.772029680352635
Milk,Gus Van Sant,7.5,6.725689178853626
The Cotton Club,Francis Ford Coppola,6.5,6.734669896198395
Amistad,Steven Spielberg,7.3,6.633367404549396
Thumbelina,Don Bluth,6.2,6.738980640523884
The Three Musketeers,Stephen Herek,6.4,6.635882005405932
The Straight Story,David Lynch,8.0,6.743291384849374
Exorcist II: The Heretic,John Boorman,3.8,6.707727744164087
A Shot in the Dark,Blake Edwards,7.3,6.75981590476375
Juno,Jason Reitman,7.4,6.71383463195853
Death to Smoochy,Danny DeVito,6.3,6.748679815256235
The Innkeepers,Ti West,5.5,6.629056660223907
Jingle All the Way,Brian Levant,5.7,6.755864389132051
Gods of Egypt,Alex Proyas,5.4,6.771670451658845
Midnight Cowboy,John Schlesinger,7.8,6.700902398982063
Ferris Bueller's Day Off,John Hughes,7.8,6.70449468591997
The Hangover,Todd Phillips,7.7,6.626542059367372
Crazy/Beautiful,John Stockwell,6.4,6.700183941594481
The Blind Side,John Lee Hancock,7.6,6.702698542451016
Femme Fatale,Brian De Palma,6.2,6.756582846519633
Beerfest,Jay Chandrasekhar,6.2,6.713116174570949
Legend,Ridley Scott,6.3,6.653124982707889
Elle,Paul Verhoeven,7.1,6.665338758296776
Sunshine,Danny Boyle,7.2,6.7490390439500265
What Men Want,Adam Shankman,5.4,6.775262738596753
Patch Adams,Tom Shadyac,6.8,6.62582360197979
Here Comes the Boom,Frank Coraci,6.4,6.733951438810814
Spartacus,Stanley Kubrick,7.9,6.636600462793513
Death Wish,Michael Winner,6.9,6.67683407649808
The Shining,Stanley Kubrick,8.4,6.636600462793513
The Darjeeling Limited,Wes Anderson,7.2,6.62115362896051
Che?,Roman Polanski,5.5,6.645581180138283
Cannonball Run II,Hal Needham,5.1,6.724252264078463
Mannequin: On the Move,Stewart Raffill,4.4,6.633008175855606
The Chronicles of Riddick,David Twohy,6.6,6.74149524138042
Million Dollar Arm,Craig Gillespie,7.0,6.750116730031398
101 Dalmatians,Stephen Herek,5.7,6.635882005405932
Anchorman: The Legend of Ron Burgundy,Adam McKay,7.1,6.775621967290544
Gone Baby Gone,Ben Affleck,7.6,6.762689734314075
Annie,John Huston,6.6,6.7041354572261795
Cronos,Guillermo del Toro,6.7,6.726048407547417
Dolor y gloria,Pedro Almodóvar,7.5,6.664261072215403
The Manchurian Candidate,Jonathan Demme,6.6,6.697669340737946
Live by Night,Ben Affleck,6.4,6.762689734314075
Top Secret!,Jim Abrahams,7.2,6.7113200311019945
Seven Days in May,John Frankenheimer,7.8,6.705931600695133
The Fall Guy,David Leitch,7.3,6.744009842236955
Dorian Gray,Oliver Parker,6.2,6.668571816540893
Blood Work,Clint Eastwood,6.4,6.751194416112771
Affliction,Paul Schrader,6.9,6.666057215684357
Cliffhanger,Renny Harlin,6.5,6.656358040952006
The Finest Hours,Craig Gillespie,6.7,6.750116730031398
X-Men: Days of Future Past,Bryan Singer,7.9,6.754786703050678
Win Win,Tom McCarthy,7.1,6.6261828306735815
Shampoo,Hal Ashby,6.4,6.724611492772254
The Andromeda Strain,Robert Wise,7.2,6.647736552301027
Windtalkers,John Woo,6.1,6.699106255513108
Dragonfly,Tom Shadyac,6.1,6.62582360197979
Lift,F. Gary Gray,5.5,6.735029124892186
A League of Their Own,Penny Marshall,7.3,6.663542614827822
Dreamscape,Joseph Ruben,6.3,6.6955139685752005
Blame It on Rio,Stanley Donen,5.8,6.637318920181095
Love Field,Jonathan Kaplan,6.5,6.697310112044154
Ride Along,Tim Story,6.1,6.627978974142535
Woman in Gold,Simon Curtis,7.3,6.639115063650049
The Rundown,Peter Berg,6.7,6.663183386134031
Mr. & Mrs. Smith,Doug Liman,6.5,6.737902954442512
The Score,Frank Oz,6.8,6.733592210117023
Doctor Strange in the Multiverse of Madness,Sam Raimi,6.9,6.642707350587957
In the Mouth of Madness,John Carpenter,7.1,6.707368515470296
The Fugitive,Andrew Davis,7.8,6.76915585080231
Misery,Rob Reiner,7.8,6.651688067932726
Wedding Crashers,David Dobkin,7.0,6.7461652143997
Bringing Out the Dead,Martin Scorsese,6.8,6.682581735598733
Below,David Twohy,6.1,6.74149524138042
Last Flag Flying,Richard Linklater,6.9,6.65348421140168
The Day After Tomorrow,Roland Emmerich,6.5,6.6459404088320735
Scream 2,Wes Craven,6.3,6.620794400266719
Say Anything...,Cameron Crowe,7.3,6.754427474356888
Fantastic Voyage,Richard Fleischer,6.8,6.654202668789262
Sleepers,Barry Levinson,7.5,6.763767420395448
The Great Escape,John Sturges,8.2,6.69982471290069
Ride the High Country,Sam Peckinpah,7.4,6.643066579281747
Mrs. Doubtfire,Chris Columbus,7.1,6.752990559581725
Gallipoli,Peter Weir,7.4,6.660668785277496
White Nights,Taylor Hackford,6.6,6.630852803692861
"Sex, Lies, and Videotape",Steven Soderbergh,7.2,6.633726633243187
Zoolander 2,Ben Stiller,4.7,6.762330505620285
City Hall,Harold Becker,6.2,6.723533806690881
Jersey Boys,Clint Eastwood,6.8,6.751194416112771
Dial M for Murder,Alfred Hitchcock,8.2,6.770233536883682
North Country,Niki Caro,7.3,6.670008731316056
The Last Emperor,Bernardo Bertolucci,7.7,6.761612048232704
A Clockwork Orange,Stanley Kubrick,8.3,6.636600462793513
The Lost Weekend,Billy Wilder,7.9,6.76017513345754
Road Trip,Todd Phillips,6.5,6.626542059367372
Annabelle,John R. Leonetti,5.4,6.701261627675853
Chisum,Andrew V. McLaglen,6.8,6.768437393414728
Witness,Peter Weir,7.4,6.660668785277496
My Best Friend's Girl,Howard Deutch,5.8,6.721378434528137
The Falcon and the Snowman,John Schlesinger,6.8,6.700902398982063
The Wild Geese,Andrew V. McLaglen,6.8,6.768437393414728
Bratz,Sean McNamara,3.1,6.640911207119003
Rush Hour,Brett Ratner,7.0,6.7569420752134235
The Lego Movie 2: The Second Part,Mike Mitchell,6.5,6.6750379330291265
Death at a Funeral,Frank Oz,7.3,6.733592210117023
Street Kings,David Ayer,6.8,6.747242900481072
Crimes of the Future,David Cronenberg,5.8,6.746524443093491
Picnic,Joshua Logan,7.0,6.694795511187619
Red Riding Hood,Catherine Hardwicke,5.4,6.753349788275515
Last Christmas,Paul Feig,6.5,6.666775673071939
MASH,Robert Altman,7.4,6.650610381851354
The Ladykillers,Ethan Coen,6.2,6.735388353585977
Scandal,Michael Caton-Jones,6.4,6.679348677354616
Bombshell,Jay Roach,6.8,6.712756945877158
Dodgeball: A True Underdog Story,Rawson Marshall Thurber,6.7,6.656717269645797
The Center of the World,Wayne Wang,5.8,6.621872086348092
Fiddler on the Roof,Norman Jewison,8.0,6.668931045234683
Lolita,Adrian Lyne,6.8,6.774544281209171
Anger Management,Peter Segal,6.2,6.661028013971286
The Outfit,John Flynn,7.0,6.706650058082714
Soul Man,Steve Miner,5.3,6.63480431932456
Ms .45,Abel Ferrara,6.8,6.775981195984334
Fanny och Alexander,Ingmar Bergman,8.1,6.720300748446764
The Foreigner,Martin Campbell,7.0,6.6829409642925235
Rocky V,John G. Avildsen,5.4,6.705572372001343
Disturbia,D.J. Caruso,6.8,6.749398272643817
Silverado,Lawrence Kasdan,7.2,6.688688623393176
The Madness of King George,Nicholas Hytner,7.2,6.67180487478501
Barton Fink,Joel Coen,7.6,6.70916465893925
Wild Wild West,Barry Sonnenfeld,4.9,6.763408191701657
The Change-Up,David Dobkin,6.3,6.7461652143997
My Beautiful Laundrette,Stephen Frears,6.8,6.636241234099723
Outland,Peter Hyams,6.6,6.661746471358867
We're the Millers,Rawson Marshall Thurber,7.0,6.656717269645797
The Evil Dead,Sam Raimi,7.4,6.642707350587957
Robin Hood: Men in Tights,Mel Brooks,6.7,6.680785592129779
Mother of the Bride,Mark Waters,4.9,6.6836594216801055
The Way We Were,Sydney Pollack,7.0,6.632648947161815
Man of the Year,Barry Levinson,6.2,6.763767420395448
Daddy's Home 2,Sean Anders,6.0,6.641270435812793
State of Play,Kevin Macdonald,7.1,6.6915624529435025
Battle: Los Angeles,Jonathan Liebesman,5.7,6.696591654656573
Supernova,Walter Hill,4.8,6.622231315041883
Waking Ned,Kirk Jones,7.3,6.69048476686213
Ball of Fire,Howard Hawks,7.7,6.721019205834346
Tom and Huck,Peter Hewitt,5.5,6.662105700052659
Mission: Impossible - Rogue Nation,Christopher McQuarrie,7.4,6.752272102194143
Little Shop of Horrors,Frank Oz,7.1,6.733592210117023
Se7en,David Fincher,8.6,6.74580598570591
Pacific Heights,John Schlesinger,6.4,6.700902398982063
The Power of the Dog,Jane Campion,6.8,6.714912318039903
12 Monkeys,Terry Gilliam,8.0,6.629775117611489
Always,Steven Spielberg,6.4,6.633367404549396
The Godfather,Francis Ford Coppola,9.2,6.734669896198395
A Streetcar Named Desire,Elia Kazan,7.9,6.736106810973558
The Unbearable Lightness of Being,Philip Kaufman,7.3,6.659591099196123
The Host,Andrew Niccol,5.8,6.7687966221085185
Super 8,J.J. Abrams,7.0,6.718863833671601
The Untouchables,Brian De Palma,7.8,6.756582846519633
Cosmopolis,David Cronenberg,5.1,6.746524443093491
Eye for an Eye,John Schlesinger,6.2,6.700902398982063
Dark City,Alex Proyas,7.6,6.771670451658845
Hairspray,John Waters,7.0,6.6994654842068995
The Hunger Games,Gary Ross,7.2,6.731077609260487
Sayonara,Joshua Logan,7.0,6.694795511187619
Jane Got a Gun,Gavin O'Connor,5.9,6.730359151872906
Cabin Fever,Eli Roth,5.6,6.7364660396673495
The Big Heat,Fritz Lang,7.9,6.73215529534186
The Client,Joel Schumacher,6.7,6.70880543024546
Interstellar,Christopher Nolan,8.7,6.751912873500352
Starman,John Carpenter,7.0,6.707368515470296
Free State of Jones,Gary Ross,6.9,6.731077609260487
The Fast and the Furious: Tokyo Drift,Justin Lin,6.0,6.693717825106247
Okja,Bong Joon Ho,7.3,6.758019761294795
Boyz n the Hood,John Singleton,7.8,6.700543170288271
The Driver,Walter Hill,7.1,6.622231315041883
Jagten,Thomas Vinterberg,8.3,6.629415888917698
Mystic Pizza,Donald Petrie,6.3,6.738262183136303
The Three Musketeers,Richard Lester,7.1,6.6538434400954705
The Wedding Planner,Adam Shankman,5.3,6.775262738596753
The Iron Giant,Brad Bird,8.1,6.757301303907214
Wait Until Dark,Terence Young,7.7,6.63049357499907
Little Buddha,Bernardo Bertolucci,6.1,6.761612048232704
Little Italy,Donald Petrie,5.7,6.738262183136303
Double Jeopardy,Bruce Beresford,6.5,6.75514593174447
Enter the Void,Gaspar Noé,7.2,6.730718380566697
The Big Sky,Howard Hawks,6.9,6.721019205834346
A Hidden Life,Terrence Malick,7.4,6.6301343463052795
Running Scared,Peter Hyams,6.5,6.661746471358867
The Return of the Pink Panther,Blake Edwards,7.0,6.75981590476375
Training Day,Antoine Fuqua,7.7,6.765922792558193
Eaten Alive,Tobe Hooper,5.5,6.627260516754953
Fail Safe,Sidney Lumet,8.0,6.63947429234384
The Rain People,Francis Ford Coppola,6.8,6.734669896198395
Sabrina,Sydney Pollack,6.3,6.632648947161815
Cloud Atlas,Tom Tykwer,7.4,6.6254643732859995
Beetlejuice,Tim Burton,7.5,6.628697431530116
Rabid,David Cronenberg,6.3,6.746524443093491
Beauty and the Beast,Bill Condon,7.1,6.7608935908451215
Sucker Punch,Zack Snyder,6.1,6.617202113328812
Bullitt,Peter Yates,7.4,6.660309556583704
Steve Jobs,Danny Boyle,7.2,6.7490390439500265
To Live and Die in L.A.,William Friedkin,7.3,6.619716714185347
Ghost Town,David Koepp,6.7,6.744728299624537
Red Sonja,Richard Fleischer,5.1,6.654202668789262
Baby Geniuses,Bob Clark,2.6,6.759097447376168
Maid in Manhattan,Wayne Wang,5.4,6.621872086348092
Scream VI,Matt Bettinelli-Olpin,6.5,6.682222506904942
The Omen,Richard Donner,7.5,6.6545618974830525
Insidious: Chapter 2,James Wan,6.5,6.715630775427484
